text,href
金太祖,/wiki/%E9%87%91%E5%A4%AA%E7%A5%96
唐睿宗,/wiki/%E5%94%90%E7%9D%BF%E5%AE%97
唐高祖,/wiki/%E5%94%90%E9%AB%98%E7%A5%96
刘聪,/wiki/%E5%88%98%E8%81%AA_(%E6%B1%89%E8%B5%B5)
慕容德,/wiki/%E6%85%95%E5%AE%B9%E5%BE%B7
慕容永,/wiki/%E6%85%95%E5%AE%B9%E6%B0%B8
苻登,/wiki/%E8%8B%BB%E7%99%BB
姚苌,/wiki/%E5%A7%9A%E8%8B%8C
唐明宗,/wiki/%E5%94%90%E6%98%8E%E5%AE%97
前蜀后主,/wiki/%E5%89%8D%E8%9C%80%E5%90%8E%E4%B8%BB
汉太祖,/wiki/%E6%B1%89%E5%A4%AA%E7%A5%96
汉惠帝,/wiki/%E6%B1%89%E6%83%A0%E5%B8%9D
刘豫,/wiki/%E5%88%98%E8%B1%AB
明熹宗,/wiki/%E6%98%8E%E7%86%B9%E5%AE%97
明代宗,/wiki/%E6%99%AF%E6%B3%B0%E5%B8%9D
梁宣帝,/wiki/%E6%A2%81%E5%AE%A3%E5%B8%9D
陈后主,/wiki/%E9%99%88%E5%90%8E%E4%B8%BB
陈文帝,/wiki/%E9%99%88%E6%96%87%E5%B8%9D
晋废帝,/wiki/%E6%99%8B%E5%BA%9F%E5%B8%9D
宋太宗,/wiki/%E5%AE%8B%E6%98%8E%E5%B8%9D
魏献文帝,/wiki/%E9%AD%8F%E7%8C%AE%E6%96%87%E5%B8%9D
唐武宗,/wiki/%E5%94%90%E6%AD%A6%E5%AE%97
汉哀帝,/wiki/%E6%B1%89%E5%93%80%E5%B8%9D
慕容熙,/wiki/%E6%85%95%E5%AE%B9%E7%86%99
刘渊,/wiki/%E5%88%98%E6%B8%8A
孙亮,/wiki/%E5%AD%99%E4%BA%AE
孙休,/wiki/%E5%AD%99%E4%BC%91
曹丕,/wiki/%E6%9B%B9%E4%B8%95
曹髦,/wiki/%E6%9B%B9%E9%AB%A6
冯弘,/wiki/%E5%86%AF%E5%BC%98
唐肃宗,/wiki/%E5%94%90%E8%82%83%E5%AE%97
唐中宗,/wiki/%E5%94%90%E4%B8%AD%E5%AE%97
石敬瑭,/wiki/%E7%9F%B3%E6%95%AC%E7%91%AD
明穆宗,/wiki/%E6%98%8E%E7%A9%86%E5%AE%97
后周世宗,/wiki/%E5%91%A8%E4%B8%96%E5%AE%97
南唐烈祖,/wiki/%E6%9D%8E%E6%98%AA
汉平帝,/wiki/%E6%B1%89%E5%B9%B3%E5%B8%9D
魏元帝,/wiki/%E6%9B%B9%E5%A5%82
宋光宗,/wiki/%E5%AE%8B%E5%85%89%E5%AE%97
明升,/wiki/%E6%98%8E%E5%8D%87
李寿,/wiki/%E6%9D%8E%E5%AF%BF
刘昱,/wiki/%E5%8A%89%E6%98%B1
朱温,/wiki/%E6%9C%B1%E6%B8%A9
王延羲,/wiki/%E7%8E%8B%E5%BB%B6%E7%BE%B2
元泰定帝,/wiki/%E5%85%83%E6%B3%B0%E5%AE%9A%E5%B8%9D
完颜永济,/wiki/%E5%AE%8C%E9%A2%9C%E6%B0%B8%E6%B5%8E
晋元帝,/wiki/%E6%99%8B%E5%85%83%E5%B8%9D
晋怀帝,/wiki/%E6%99%8B%E6%80%80%E5%B8%9D
慕容超,/wiki/%E6%85%95%E5%AE%B9%E8%B6%85
石重贵,/wiki/%E7%9F%B3%E9%87%8D%E8%B4%B5
西汉前少帝,/wiki/%E8%A5%BF%E6%B1%89%E5%89%8D%E5%B0%91%E5%B8%9D
西汉后少帝,/wiki/%E5%88%98%E5%BC%98
辽世宗,/wiki/%E8%BE%BD%E4%B8%96%E5%AE%97
苻健,/wiki/%E8%8B%BB%E5%81%A5
明惠宗,/wiki/%E5%BB%BA%E6%96%87%E5%B8%9D
唐穆宗,/wiki/%E5%94%90%E7%A9%86%E5%AE%97
刘旻,/wiki/%E5%88%98%E6%97%BB
